URL,Category,Series,Prod_Name,Prod_ID,Short_Description,Long_Descriptio,Features & Benefits,Specifications,Product Details,Documents
https://www.heil-hvac.com/en/us/products/air-conditioners/ion-19-variable-speed-air-conditioner-va9/,Air Conditioners,Premium,Ion™ 19 Variable-Speed Air Conditioner,HVA9,"Enjoy comfort without compromise, thanks to our variable-speed air conditioner with SmartSense™ technology. This whisper-quiet system senses changing conditions and adapts so you can stay comfy with outstanding efficiency. And when it gets extra hot and sticky outside, you'll feel the difference with enhanced dehumidification inside. For maximum performance along with the convenience of remote access, pair it with a complete communicating system, including the energy-smart Ion™ System Control with Wi-Fi® capability.","{'Variable-speed compressor': '5 stages of variable-speed compressor operation, providing our best temperature and summer humidity control', 'Variable-speed fan': 'High-efficiency variable-speed fan works with compressor for our best levels of quiet, efficient operation', 'Weather and debris protection': 'Durably built with tight wire grille and protective corner posts to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed for corrosion resistance and lasting performance'}","Quiet performance (as low as 56 decibels)*|5 stages of variable-speed compressor operation, providing our best  temperature and summer humidity control|High-efficiency variable-speed fan works with compressor for our best levels of quiet, efficient operation|Durably built with tight wire grille and protective corner posts to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|Wi-Fi| enabled remote access with the Ion™ System Control| |10-Year No Hassle Replacement™ Limited Warranty|10-Year Parts Limited Warranty","High-efficiency variable-speed rotary compressor |High-efficiency variable-speed fan motor|System protecting high pressure switch, low pressure transducer, and filter drier|Durable, protective tight wire grille panels allow easy coil cleaning; corner posts for extra strength and style|High-gloss, baked-on powder coat finish over galvanized steel|Sound-reducing features: aerodynamic variable-speed fan, soft mounted compressor and high performance acoustic-absorbing compressor blanket|Compatible control: Ion system control installed as part of a complete communicating system for full function and efficiency capability, Wi-Fi| remote access convenience, and intelligent diagnostics|Non-ozone depleting R-410A refrigerant|Cooling capacity: 2–5 tons","{'Efficiency Rating': 'Up to 19 SEER cooling / Up to 13 EER cooling', 'Sound level': 'As low as 56 decibels', 'Communicating Capability': 'Wi-Fi® enabled remote access with the Ion™ System Control', 'No Hassle ReplacementTM Limited Warranty': '10-Year No Hassle Replacement™ Limited Warranty+', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Energy Star® Qualified': 'U.S. Environmental Protection Agency voluntary program that helps protect climate through energy efficiency', 'Fan Motor': 'Variable-speed operation', 'Compressor': '5 stages of variable-speed compressor operation, providing our best temperature and summer humidity control', 'Cooling capacity': '2-5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-13-central-air-conditioner/,Air Conditioners,Value,Performance 13 Central Air Conditioner,N4A3,Keep the heat out during the warm months with our budget-friendly central air conditioner with a single-stage compressor. Enjoy cooling comfort and reliability in this affordable model.,"{'Single-stage compressor': 'Single-stage compressor operation', 'Single-speed fan': 'Single-speed fan motor', 'Weather and debris protection': 'Durably built to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed for corrosion resistance and lasting performance'}",Quiet performance (as low as 74 decibels)*|Single-stage compressor operation|Durably built to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty,"Efficient, single-stage scroll compressor|Single-speed fan motor|System protecting filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Baked-on powder coat finish over galvanized steel|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Some models in this series may not be eligible for installation in the Southeast or Southwest regions of the country, based on Department of Energy minimum efficiency standards in place as of January 1, 2015. Ask your dealer to ensure your new air conditioner meets government regulations in your area.","{'Efficiency Rating': 'Up to 13 SEER cooling / Up to 11 EER cooling', 'Sound level': 'As low as 74 decibels', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-14-central-air-conditioner/,Air Conditioners,Value,Performance 14 Central Air Conditioner,N4A5,Keep your cool in the summer with this single-stage air conditioner. It's designed to meet your need for a budget-friendly design that you can count on for reliability and durability for years to come.,"{'Single-stage compressor': 'Single-stage compressor operation', 'Single-speed fan': 'Single-speed fan motor', 'Weather and debris protection': 'Durably built to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed for corrosion resistance and lasting performance'}",Quiet performance (as low as 75 decibels)*|Single-stage compressor operation|Durably built to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty,"Efficient, single-stage scroll compressor |Single-speed fan motor|System protecting filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Baked-on powder coat finish over galvanized steel|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': 'Up to 14 SEER cooling / Up to 12.2 EER cooling', 'Sound level': 'As low as 75 decibels', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Cooling capacity': '1.5–5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-14-central-air-conditioner-2/,Air Conditioners,Value,Performance 14 Central Air Conditioner,NXA4,Beat the summer heat with our budget-friendly central air conditioner with a single-stage compressor delivering cooling comfort and dehumidification all summer long.,"{'Single-stage compressor': 'Single-stage compressor operation', 'Single-speed fan': 'Single-speed fan motor', 'Weather and debris protection': 'Durably built to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed for corrosion resistance and lasting performance'}",Quiet performance (as low as 75 decibels)*|Single-stage compressor operation|Durably built to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty,"Efficient, single-stage scroll compressor |Single-speed fan motor|System protecting filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Baked-on powder coat finish over galvanized steel|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': 'Up to 14 SEER cooling / Up to 12.2 EER cooling', 'Sound level': 'As low as 75 decibels', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Cooling capacity': '1.5–5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-16-central-air-conditioner-2/,Air Conditioners,Value,Performance 16 Central Air Conditioner,NXA6,"Now you can keep cool and comfortable in the warm months with our high efficiency air conditioner with a single-stage compressor. It delivers reliable cooling comfort and is ENERGY STAR® qualified so you can enjoy money-saving, efficient comfort.","{'Single-stage compressor': 'Single-stage compressor operation', 'Single-speed fan': 'Single-speed fan motor', 'Weather and debris protection': 'Durably built with tight wire grille and protective corner posts to withstand bad weather and debris', 'Durable design for lasting performance': 'Designed for corrosion resistance and lasting performance'}",Quiet performance (as low as 76 decibels)*|Single-stage compressor operation|Durably built to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty,"Efficient, single-stage scroll compressor |Single-speed fan motor|System protecting filter drier|Durable, protective inlet grille panels allow easy coil cleaning|Baked-on powder coat finish over galvanized steel|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': 'Up to 16.0 SEER cooling / 12 EER cooling', 'Sound level': 'As low as 76 decibels', 'Communicating Capability': 'Wi-Fi® enabled remote access with the Ion™ System Control', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Energy Star® Qualified': 'U.S. Environmental Protection Agency voluntary program that helps protect climate through energy efficiency', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Cooling capacity': '1.5–5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
https://www.heil-hvac.com/en/us/products/thermostats/ion--zoning-system/,Thermostats,Thermostats,Ion™ Zoning System,SYST0101ZP,"
",,Designed to work exclusively with our Ion™ system control and Ion heating & cooling products.|Customized control in up to eight separate zones within your home.|Set different fan speeds for your Ion system at a different time schedule for each zone.|10-year parts limited warranty upon timely registration.|Upgrade your required wired remote room sensors with Ion smart sensors that feature a glass touch screens that display the indoor/outdoor temperature and indoor humidity levels. Room sensors are sold separately.|Duct Dampers (sold separately) are also required.,,"{'Zoning': 'Zoning capable for up to 8 zones', 'Comfort Control': 'Customized comfort control for individual zones', 'Parts Warranty': '10-Year Parts Limited Warranty±'}",
https://www.heil-hvac.com/en/us/products/spp/performance-14-packaged-narrow-lot-air-conditioner-unit/,Packaged Products,Value,Performance 14 Packaged Narrow Lot Air Conditioner Unit,PAJ4,You get the efficiency you want with our affordable packaged air conditioner made for ground level installation on narrow lots. It features an efficient blower motor and a hail guard grill for added protection,,Quiet performance (as low as 72 decibels)*|Blower motor and compressor work together for cooling dehumidification|Durably built to withstand bad weather and debris|Designed for lasting performance|Sized smaller for narrow lot installations|10-Year Parts Limited Warranty,Efficient single-stage scroll compressor|Efficient fixed-speed blower motor|System protecting highand low-pressure switches|Louvered hail guard and raised coil design for protection against weather and debris|Sound reducing features: soft mounted compressor and blower motor|Compatible with cooling thermostats|Ground level narrow lot installation|Cooling capacity: 2–5 tons,"{'Efficiency': '14 SEER', 'EER': '11.5 EER', 'Sound level': 'As low as 72 decibels'}",
https://www.heil-hvac.com/en/us/products/gas-furnaces/performance-80-gas-furnace-n80vsl/,Gas Furnaces,Value,Performance 80 Gas Furnace,N80VSL,Relish in the warmth and energy savings of our efficient gas furnace when it's cold outside. It features a multi-speed blower motor and single-stage gas heating that delivers even levels of temperature control and quiet performance. The multi-speed blower motor also means you’ll enjoy better summer dehumidification and a possible SEER boost from your cooling unit.,,Quiet performance|Multi-speed constant torque blower motor and single-stage gas valve also provide enhanced levels of temperature control and comfort|Dual fuel capable with a compatible heat pump and thermostat for energy-saving heating performance|Fully insulated cabinet helps keep the heat moving to your ductwork|Air purifier and humidifier compatible|10-Year Parts Limited Warranty upon timely registration|20-Year Heat Exchanger Limited Warranty,"High-efficiency, variable speed constant torque (VCT) ECM blower motor|Induced draft combustion motor|Single-stage gas valve|RPJ| (Rigid Press Joint) primary heat exchanger|Reliable direct spark gas ignition|High temperature limit control helps prevent overheating|Solid pre-painted and steel insulated cabinet with tight fit door latch system|Sound-reducing features: soft mounted blower and inducer motor|Compatible thermostat: heat/cool with humidity sensing|Heating capacity: 45,000–110,000 BTUh","{'Efficiency Rating': '80% AFUE', 'Heat Exchanger Warranty': '20-Year Heat Exchanger Limited Warranty†', 'Parts Warranty': '10-Year Parts Limited Warranty upon timely registration+', 'Blower Motor': 'Multi-speed constant torque blower motor and single-stage gas valve also provide enhanced levels of temperature control and comfort', 'Heating capacity': '45,000–110,000 BTUh', 'Operation': 'Single-stage operation'}",
https://www.heil-hvac.com/en/us/products/gas-furnaces/performance-80-gas-furnace-3/,Gas Furnaces,Value,Performance 80 Ultra-Low NOx Gas Furnace,N80ESU,"Our ultra-low NOx gas furnace is an easy choice for California residents in the South Coast Air Quality Management District and San Joaquin Air Pollution Control District looking for a heating solution with reduced NOx emissions. This 80% AFUE furnace reliably heats your home while significantly reducing emissions that contribute to smog, acid rain, water quality deterioration and more. Its reliable single-stage operation and 5 speed blower provide even levels of temperature control for your comfort.",,Ultra-low NOx Model|Quiet performance|Multi-speed ECM blower motor and single-stage gas valve provide improved levels of even temperature control and comfort|Fully insulated cabinet helps keep the heat moving to your ductwork|Dual fuel capable with a compatible heat pump and thermostat for energy-saving heating performance|Air purifier and humidifier compatible|10-Year Parts Limited Warranty upon timely registration|20-Year Heat Exchanger Limited Warranty,"Efficient multi-speed ECM blower motor|Variable-speed induced draft combustion motor|Single-stage gas valve|Natural Gas only, not convertible to Liquid Propane|4 Way Multipoise|Stainless steel heat exchanger|Reliable direct gas ignition with silicon nitride ignitor|High temperature limit control helps prevent overheating|Solid, pre-painted steel cabinet with tight fit door latch system|Sound-reducing features: fully insulated cabinet with soft mounted blower and inducer motor|Compatible thermostat: heat/cool with humidity sensing|Heating capacity: 40,000 - 100,000 BTUh","{'Efficiency Rating': '80% AFUE', 'Emissions': 'Ultra Low NOx Emissions', 'Heat Exchanger Warranty': '20-Year Heat Exchanger Limited Warranty', 'Parts Warranty': '10-Year Parts Limited Warrenty', 'Blower Motor': 'Multi-speed ECM blower motor and single-stage gas valve provide improved levels of even temperature control and comfort', 'Heating capacity': '40,000 - 100,000 BTUh', 'Operation': 'Single-stage operation'}",
https://www.heil-hvac.com/en/us/products/air-conditioners/performance-14-compact-central-air-conditioner/,Air Conditioners,Value,Performance 14 Compact Central Air Conditioner,NH4A4,"Keep the peace with quiet performance as low as 66 decibels with this compact central air conditioner that's great for multi-family housing. Its stackable design has an efficient ""pass through"" airflow design. Built to last, it features a weather-resistant cabinet and a tight wire protective guard.",,Quiet performance (as low as 66 decibels)*|Single-stage compressor operation|Durably built to withstand bad weather and debris|Designed for corrosion resistance and lasting performance|10-Year Parts Limited Warranty,"Specially designed for narrow lot or multi-family applications|Efficient, single-stage scroll compressor |Single-speed fan motor|System protecting filter drier|High-gloss, baked-on powder coat finish over galvanized steel|Compatible with most cooling thermostats|Non-ozone depleting R-410A refrigerant|Cooling capacity: 1.5–5 tons","{'Efficiency Rating': 'Up to 14 SEER cooling / Up to 12.2 EER cooling', 'Sound level': 'As low as 66 decibels', 'Communicating Capability': 'Wi-Fi® enabled remote access with the Ion™ System Control', 'Parts Warranty': '10-Year Parts Limited Warranty±', 'Fan Motor': 'Single-speed fan motor', 'Compressor': 'Single-stage compressor operation', 'Cooling capacity': '1.5–5 tons', 'Refrigerant': 'Non-ozone depleting R-410A'}",
