URL,Category,Subcategory,Prod_Name,Prod_ID,Brand,Specifications,Videos,FeaturesAndBenefits,Images
https://www.protoindustrial.com/en/industrial-tools/Proto/Hand-Sockets%7cScrewdrivers-%26-Hex-Keys/Bit-Socket-Sets%7cInsert-Bits/J5239P_Proto%c2%ae-11-Piece-1%7c4%22-and-3%7c8%22-Drive-Torx%c2%ae-Bit-Set-/,Hand Sockets|Screwdrivers & Hex Keys,,"Proto® 11 Piece 1/4"" and 3/8"" Drive Torx® Bit Set",J5239P,Proto,"{'Drive Size [in]': '1/4 & 3/8', 'Finish': 'Full Polish', 'Tips': 'Torx®', 'Weight [Lbs]': '0.36', 'Piece Count': '11'}",,Not for use on impact applications.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/J5239P.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/J5239P.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/J5239P.png'}]"
https://www.protoindustrial.com/en/industrial-tools/Proto/Hand-Sockets%7cPrecision-Torque-Tools/Socket-Sets%7cTorque-Adapters/J5100_Proto%c2%ae-9-Piece-3%7c8%22-Drive-Torque-Adapter-Set---12-Point-/,Hand Sockets|Precision Torque Tools,,"Proto® 9 Piece 3/8"" Drive Torque Adapter Set - 12 Point",J5100,Proto,"{'Drive Size [in]': '3/8', 'Point Size': '12', 'Finish': 'Full Polish', 'Unit of Measure': 'Fractional', 'Weight [Lbs]': '1.32', 'Piece Count': '9'}",,"Designed for easy torque calibrations.|Adapters measure 2"" from the center of the square drive to the center of the adapter opening.|Special heat-treated alloy steel helps to increase strength and durability.|Box end wall thickness is specially engineered to provide strength while still allowing ample room for access to reach difficult fasteners.|12 point box end allows for fine indexing, helping to improve speed and access.  Fits 4, 6 and 12 point fasteners.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/J5100.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/J5100.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/J5100.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Impact-Sockets/Impact-Socket-Sets/97-126_STANLEY%c2%ae-1%7c2%22-Drive-11-Piece-Metric-Deep-Impact-Socket-Set-%e2%80%93-6-Point/,Impact Sockets,,"STANLEY® 1/2"" Drive 11 Piece Metric Deep Impact Socket Set – 6 Point",97-126,Stanley,"{'Drive Size [in]': '1/2', 'Point Size': '6', 'Finish': 'Black Oxide', 'Length Type': 'Deep', 'Unit of Measure': 'Metric', 'Piece Count': '11'}",,"Stanley® sockets feature our Max-Drive™ design, a unique radius corner design that provides 15% more torque,* making it easy to tighten fasteners and simplifying the turning of rounded corners.|Helps reduce fastener wear without contact with the outer 5% of the fastener.|Helps reduce slipping on frozen or rusted fasteners. Impact sockets are made of alloy steel for strength and durability, then heat-treated to balance strength and hardness.|Socket wall thickness is optimized to provide strength while retaining ample access to restricted fasteners.|All sockets meet or exceed ANSI specifications.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/97-126_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/97-126_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/97-126_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/97-126.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/97-126.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/97-126.png'}]"
https://www.protoindustrial.com/en/industrial-tools/Proto/Impact-Sockets%7cScrewdrivers-%26-Hex-Keys/Impact-Bit-Socket-Sets%7cInsert-Bits/J4739P_Proto%c2%ae-3%7c8%22-Drive-7-Piece-Torx%c2%ae-Bit-Socket-Set-/,Impact Sockets|Screwdrivers & Hex Keys,,"Proto® 3/8"" Drive 7 Piece Torx® Bit Socket Set",J4739P,Proto,"{'Drive Size [in]': '3/8', 'Finish': 'Black Oxide', 'Length Type': 'Standard', 'Unit of Measure': 'Torx®', 'Tips': 'Torx®', 'Weight [Lbs]': '0.19', 'Piece Count': '7'}",,Not for use on impact applications.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/J4739P.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/J4739P.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/J4739P.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Striking-%26-Struck/Nail-Sets/58-011_STANLEY%c2%ae-Self-Centering-Nail-Set/,Striking & Struck,Nail Sets,STANLEY® Self-Centering Nail Set,58-011,Stanley,"{'Overall Length [in]': '3-1/16', 'Face Diameter': '9/16'}",,Ideal for rapid setting of nails and brads.|Designed to reduce marring of wood surface.|Sets 4D and 6D finishing nails.|Nickel-plated for durability.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/58-011.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/58-011.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/58-011.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Tool-Storage/Tool-Vests/FMST530201_STANLEY%c2%ae-FATMAX%c2%ae-Tool-Vest/,Tool Storage,Tool Vests,STANLEY® FATMAX® Tool Vest,FMST530201,Stanley,,,"Tool compartments for easy carriage and convenient access to|frequently used tools.|Personal storage compartments for personal belongings like|mobile phone, iPod, etc.|Air mesh material enables vest to ""breathe"", allows air movement so draws perspiration away for comfort throughout the day.|Multiple use compartments for all storage needs.|Adjustable shoulder straps for maximum comfort and secure fitting.|Light reflective strip for better visibility.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/fmst530201_3_7x9_300cmyk.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/fmst530201_3_7x9_300cmyk.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/fmst530201_3_7x9_300cmyk.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/fmst530201.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/fmst530201.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/fmst530201.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Hand-Sockets/Bit-Socket-Sets/85-707_STANLEY%c2%ae-3%7c8%22-Drive-7-Piece-Fractional-Hex-Bit-Set/,Hand Sockets,Bit Socket Sets,"STANLEY® 3/8"" Drive 7 Piece Fractional Hex Bit Set",85-707,Stanley,"{'Drive Size [in]': '3/8', 'Unit of Measure': 'Fractional', 'Tips': 'Hex', 'Piece Count': '7'}",,"Max-Drive™ helps reduce fastener wear by minimizing contact on the outer 5% of the fastener, helping to increase life expectancy.*|Max-Drive™ helps reduce slipping on frozen or rusted fasteners.|All Stanley® ratchets, sockets and wrenches are manufactured globally to Stanley specifications, meeting and often exceeding ANSI specifications.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/85-707.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/85-707.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/85-707.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Finishing-Tools/Brushes%7cFiles/21-112_STANLEY%c2%ae-10%22-Wire-Brush/,Finishing Tools,Brushes|Files,"STANLEY® 10"" Wire Brush",21-112,Stanley,,,"Ideal for removal of rust and paint.|Strong wire bristles.|Durable wood handle.|Hang-hole on the handle, for storage purposes.","[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/21-112_03.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/21-112_03.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/21-112_03.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/21-112_02.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/21-112_02.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/21-112_02.png'}, {'Item_Image': 'http://www.protoindustrial.com/images/52x52/21-112.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/21-112.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/21-112.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Specialty-Tools/Inspection-%26-Pick-Up-Tools/STHT77363_STANLEY%c2%ae-Inspection-Camera/,Specialty Tools,Inspection &amp; Pick Up Tools,STANLEY® Inspection Camera,STHT77363,Stanley,,,8mm wide camera head for minimal surface scarring and entry into most cavities and areas. |1m camera wand length for extended reach through most cavities and behind most surfaces. |90° screen rotation positions rotate the display to get the best angle possible when viewing behind surfaces. |LEDs with eight brightness levels allows for maximum visibility in dark environments. |IP67 camera wand is water- and dust-resistant and stands up to extreme jobsite conditions.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/STHT77363_7_32X21_300CMYK.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/STHT77363_7_32X21_300CMYK.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/STHT77363_7_32X21_300CMYK.png'}]"
https://www.protoindustrial.com/en/industrial-tools/StanleyTools/Fastening-Tools/Glue-Sticks/GS264BK_STANLEY%c2%ae-Woodworking-Glue-Sticks-4%22-%e2%80%93-30-Pack/,Fastening Tools,Glue Sticks,"STANLEY® Woodworking Glue Sticks 4"" – 30 Pack",GS264BK,Stanley,,,Hot-melt formula for woodworking jobs.,"[{'Item_Image': 'http://www.protoindustrial.com/images/52x52/GS264BK.png', 'Detailed_Image': 'http://www.protoindustrial.com/images/338x228/GS264BK.png', 'Zoom_Image': 'http://www.protoindustrial.com/images/880x880/GS264BK.png'}]"
